,steam-LBS,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
2012-01-29,,2012-01-29,2012-01-30,41.6666666667,3.58333333333,-8.35833333333,1007.79166667,128.25,256.25,6.09954191667,0.00202635440827,0.0,11.4166666667,0.0,0.5
2012-01-30,40511.4355469,2012-01-30,2012-01-31,55.125,1.25833333333,-6.86666666667,1011.79166667,123.083333333,264.166666667,4.62963333333,0.00225832517746,0.0,13.7416666667,0.0,1.0
2012-02-02,36012.8255208,2012-02-02,2012-02-03,65.375,3.58333333333,-2.42083333333,1009.0,57.0,142.083333333,4.88426316667,0.00316916308526,0.0,11.4166666667,0.0,1.0
2012-02-03,38869.9202474,2012-02-03,2012-02-04,47.0833333333,0.208333333333,-9.6625,1017.41666667,135.541666667,258.333333333,4.49074433333,0.00174258955187,0.0,14.7916666667,0.0,1.0
2012-02-04,,2012-02-04,2012-02-05,46.375,2.58333333333,-7.72083333333,1013.33333333,135.125,303.75,5.17361525,0.00211438448579,0.0,12.4166666667,0.0,0.5
2012-02-05,34842.9492188,2012-02-05,2012-02-06,43.0,-1.70833333333,-11.6291666667,1011.54166667,141.125,272.083333333,3.18287291667,0.00139933532107,0.0,16.7083333333,0.0,0.5
2012-02-06,31931.9303385,2012-02-06,2012-02-07,45.7083333333,3.75,-7.34166666667,1005.41666667,139.416666667,247.083333333,5.7638935,0.00220922604463,0.0,11.25,0.0,1.0
2012-02-07,,2012-02-07,2012-02-08,50.125,4.41666666667,-5.20833333333,1007.75,123.166666667,298.75,4.6527815,0.00258838946166,0.0,10.5833333333,0.0,1.0
2012-02-08,,2012-02-08,2012-02-09,39.4166666667,-1.04166666667,-12.3083333333,1014.79166667,122.0,260.416666667,3.46065091667,0.00135429824332,0.0,16.0416666667,0.0,1.0
2012-02-09,30611.6503906,2012-02-09,2012-02-10,36.3333333333,3.875,-9.81666666667,1008.04166667,140.291666667,271.25,4.15509591667,0.00172078549095,0.0,11.125,0.0,1.0
2012-02-10,,2012-02-10,2012-02-11,41.8333333333,5.125,-7.18333333333,1008.125,147.791666667,231.666666667,5.18518933333,0.00224749121193,0.0,9.875,0.0,1.0
2012-02-11,,2012-02-11,2012-02-12,78.3333333333,1.83333333333,-1.67916666667,997.333333333,47.375,241.666666667,4.67592966667,0.00342834042337,0.0,13.1666666667,0.0,0.5
2012-02-12,44307.6009115,2012-02-12,2012-02-13,38.625,-5.5,-15.8041666667,997.0,156.958333333,314.166666667,7.51158008333,0.000983893665941,0.0,20.5,0.0,0.5
2012-02-13,40873.3251953,2012-02-13,2012-02-14,45.2916666667,-0.958333333333,-10.9333333333,1003.25,113.0,256.25,6.34259766667,0.0016345024092,0.0,15.9583333333,0.0,1.0
2012-02-14,36284.9348958,2012-02-14,2012-02-15,47.7916666667,2.25,-8.1,1009.66666667,111.666666667,223.333333333,2.82407633333,0.00205446519806,0.0,12.75,0.0,1.0
2012-02-15,29506.0270182,2012-02-15,2012-02-16,83.2083333333,3.91666666667,1.17083333333,1012.66666667,107.583333333,138.333333333,1.65509391667,0.00414389680607,0.0,11.0833333333,0.0,1.0
2012-02-16,29247.6708984,2012-02-16,2012-02-17,73.875,4.29166666667,-0.1625,1013.79166667,109.041666667,225.833333333,2.74305775,0.00375700054533,0.0,10.7083333333,0.0,1.0
2012-02-17,29601.3492839,2012-02-17,2012-02-18,65.9583333333,6.58333333333,-0.266666666667,1005.04166667,83.75,253.333333333,4.722226,0.0039052930702,0.0,8.41666666667,0.0,1.0
2012-02-18,25972.4023438,2012-02-18,2012-02-19,49.125,4.375,-5.875,1004.25,152.708333333,289.166666667,5.98380108333,0.00247528502821,0.0,10.625,0.0,0.5
2012-02-19,28570.9179688,2012-02-19,2012-02-20,52.375,2.79166666667,-6.41666666667,1007.79166667,172.708333333,233.333333333,3.86574383333,0.00237070531209,0.0,12.2083333333,0.0,0.5
2012-02-20,38409.991862,2012-02-20,2012-02-21,40.75,0.791666666667,-10.6375,1011.08333333,172.5,333.333333333,4.97685583333,0.00157549701474,0.0,14.2083333333,0.0,1.0
2012-02-21,33526.7399089,2012-02-21,2012-02-22,55.25,1.83333333333,-6.59166666667,1013.95833333,165.166666667,231.666666667,4.27083675,0.00237983304872,0.0,13.1666666667,0.0,1.0
2012-02-22,22153.6360677,2012-02-22,2012-02-23,63.875,7.8375,0.341666666667,996.291666667,149.5,225.833333333,4.29398491667,0.00401452434325,0.1375,7.1625,0.0,1.0
2012-02-23,,2012-02-23,2012-02-24,63.9166666667,8.33333333333,1.27083333333,990.791666667,93.25,255.833333333,5.55556,0.00443033062033,0.0,6.66666666667,0.0,1.0
2012-02-24,33699.202474,2012-02-24,2012-02-25,76.7916666667,3.83333333333,-0.220833333333,995.083333333,22.75,130.0,3.49537316667,0.00389162522542,0.0,11.1666666667,0.0,1.0
2012-02-25,28699.3424479,2012-02-25,2012-02-26,51.7916666667,4.25,-5.2625,986.541666667,121.791666667,271.666666667,10.0463043333,0.00270075234448,0.0,10.75,0.0,0.5
2012-02-26,32051.7643229,2012-02-26,2012-02-27,30.7083333333,1.16666666667,-13.525,1013.79166667,193.041666667,296.25,7.03704266667,0.00121567718605,0.0,13.8333333333,0.0,0.5
2012-02-27,28690.6542969,2012-02-27,2012-02-28,47.8333333333,3.95833333333,-5.8375,1016.83333333,170.875,219.583333333,4.90741133333,0.00251476490449,0.0,11.0416666667,0.0,1.0
2012-02-28,30045.5289714,2012-02-28,2012-02-29,41.0833333333,5.41666666667,-6.8625,1015.04166667,174.75,296.666666667,5.87963433333,0.00227737774807,0.0,9.58333333333,0.0,1.0
2012-03-01,43775.563151,2012-03-01,2012-03-02,90.0833333333,1.70833333333,0.175,1002.375,20.2916666667,97.0833333333,9.94213758333,0.00391024083954,0.0,13.2916666667,0.0,1.0
