Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7516186648.81884,1956460250.53117,219779188513.109,22095162938.4998 
February,49854661098.32,80438280919.6592,6701093907.52905,1353601416.48549,152832118653.624,19660310698.6772 
March,56021400376.5617,86631158892.9127,7346194677.3173,1097876367.19932,97866238207.8392,51204239351.0655 
April,52040427575.8302,100580829051.504,7045661353.31986,877125569.910796,45374648194.604,75451853225.5024 
May,56021400376.5618,103933523353.221,7328015614.67959,1045552091.77524,27709548630.1452,110293377779.671 
June,53965820617.1478,100580829051.504,7123635654.83291,1305424200.20119,10236191181.2501,156960707174.322 
July,54096007335.2441,103933523353.221,7445463618.62881,1664746566.08195,3756630847.65559,207631639538.417 
August,56021400376.5617,103933523353.221,7401696773.83826,1515453291.06238,7634284599.12903,184969101493.989 
September,53109329050.7254,100580829051.504,7061414665.95465,1074933321.47176,17932013215.3561,126355353207.991 
October,54952498901.6665,115666157452.247,7306924933.29933,938416845.822676,46672399806.2128,79951792804.3899 
November,53965820617.1478,121881385514.492,7071466820.83202,896148416.732926,81701509902.5367,46676459053.0904 
December,54096007335.2441,108167919437.094,7431736398.83121,1581473149.30675,174614150979.666,20251173519.0014 
