Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7319766224.99563,806869576.693278,122714265688.245,24853323295.0463 
February,49854661098.32,80438280919.6592,6586970867.30635,557940981.854422,81844939729.5927,25405954371.3003 
March,56021400376.5617,86631158892.9127,7276753914.77562,632153827.144579,48003795989.3756,57600097555.5379 
April,52040427575.8302,100580829051.504,7034164595.98247,768449359.524338,18745322118.1846,84509277018.5565 
May,56021400376.5618,103933523353.221,7370400058.28283,1116628452.95657,12590103940.6093,124221321289.067 
June,53965820617.1478,100580829051.504,7213028185.83047,1524703439.18767,6057369766.62525,175072003814.489 
July,54096007335.2441,103933523353.221,7524961951.76689,1881574513.62367,4000186479.41001,224767723766.966 
August,56021400376.5617,103933523353.221,7490124701.75005,1735894057.0673,5419785583.62155,202557533537.237 
September,53109329050.7254,100580829051.504,7123200355.75413,1208699760.41826,9558901425.48637,140132413614.33 
October,54952498901.6665,115666157452.247,7319390062.80815,859533028.711962,20984086029.9902,92658266924.7389 
November,53965820617.1478,121881385514.492,7021589835.13972,553000256.748249,37864543205.5123,54908626240.1641 
December,54096007335.2441,108167919437.094,7288720870.55263,547871308.012708,95698284623.0587,23770436202.2276 
