Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7372286316.95136,1465433645.1593,171713955143.891,14471366264.0925 
February,49854661098.32,80438280919.6592,6628933178.75007,1099011118.83408,138812246039.75,9572500476.40583 
March,56021400376.5617,86631158892.9127,7265549723.08582,797404957.419587,85456611052.0378,35771029914.4925 
April,52040427575.8302,100580829051.504,6983454000.26662,687824149.873543,38723361639.4857,62003227605.4292 
May,56021400376.5618,103933523353.221,7225577187.67454,805025760.205493,24838185087.4256,92805452045.8703 
June,53965820617.1478,100580829051.504,6997934209.91668,1023545618.78954,9988162986.77913,136067681305.753 
July,54096007335.2441,103933523353.221,7288208613.61494,1379502580.34581,5076397524.86481,187163020112.92 
August,56021400376.5617,103933523353.221,7273884801.74867,1246783435.36861,8151990687.56581,165104132437.61 
September,53109329050.7254,100580829051.504,6982781668.64252,896884970.758622,16223117474.1906,112049114774.439 
October,54952498901.6665,115666157452.247,7218775046.41716,687412818.482916,40400684273.4258,60775432274.3025 
November,53965820617.1478,121881385514.492,7010204991.13349,653979399.890059,66241382737.2916,35524378081.0019 
December,54096007335.2441,108167919437.094,7312203285.90608,1012028973.94442,132915509928.535,11278979604.0214 
