Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7513573811.27313,2035140799.04509,223916842320.609,20700506907.9154 
February,49854661098.32,80438280919.6592,6704134815.93618,1458041297.12259,160666928395.895,17281602107.6399 
March,56021400376.5617,86631158892.9127,7334662536.56431,1134225796.21416,102662869805.215,47404672034.1075 
April,52040427575.8302,100580829051.504,7034188931.98079,873810926.640808,48381233054.3826,72009630338.3289 
May,56021400376.5618,103933523353.221,7300184622.57321,986055744.830615,29786197466.2104,105513666749.008 
June,53965820617.1478,100580829051.504,7086001374.17269,1221527503.41941,11319526232.3826,150400836023.814 
July,54096007335.2441,103933523353.221,7398558712.42936,1559952998.12838,4065317915.90679,201064082336.136 
August,56021400376.5617,103933523353.221,7361533883.86543,1433315752.85784,8324205932.26791,178528217478.1 
September,53109329050.7254,100580829051.504,7039334555.26268,1031432611.39077,18859220558.127,121995445246.28 
October,54952498901.6665,115666157452.247,7285176085.03961,919566334.786856,49504982961.0719,74781749963.6762 
November,53965820617.1478,121881385514.492,7064687072.63316,926397420.541394,85041295762.5657,44141104177.8128 
December,54096007335.2441,108167919437.094,7426440550.23726,1661032500.85019,177059260238.631,18811792238.2398 
