Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7311194691.43138,747098584.617257,116764729647.386,25593445560.3169 
February,49854661098.32,80438280919.6592,6584925362.01761,531903322.634672,77195185670.9559,26940815589.8031 
March,56021400376.5617,86631158892.9127,7278504862.30015,629639563.365847,45069106247.7208,59250614325.0073 
April,52040427575.8302,100580829051.504,7041411849.63507,787342251.222692,17473444735.0684,86460778918.352 
May,56021400376.5618,103933523353.221,7382579833.72913,1147268055.57433,11877912597.2957,126617278851.358 
June,53965820617.1478,100580829051.504,7227139702.93998,1554967001.71211,6046699633.21231,177519353076.02 
July,54096007335.2441,103933523353.221,7538159659.51262,1911149699.87041,3920295490.37419,226757164743.307 
August,56021400376.5617,103933523353.221,7502913530.13373,1762908505.21999,5311840928.27571,204742078536.515 
September,53109329050.7254,100580829051.504,7134453787.95361,1237177712.82113,9079604009.7158,142270573725.576 
October,54952498901.6665,115666157452.247,7330417494.88697,882110800.548156,19820057034.9027,95169951003.229 
November,53965820617.1478,121881385514.492,7024520573.16269,557813520.686344,35316292952.9224,56694447471.2673 
December,54096007335.2441,108167919437.094,7281128254.08293,509239925.994466,90526476443.7228,24723466920.4876 
