Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7334290343.38155,1025221742.27321,144065439472.389,19441787557.5704 
February,49854661098.32,80438280919.6592,6585330744.60194,673606027.050984,104833827167.313,15263057443.3401 
March,56021400376.5617,86631158892.9127,7253077238.7273,609524211.220383,62573126851.4172,44659242566.7179 
April,52040427575.8302,100580829051.504,6990611224.12138,656907678.461439,25671008266.199,71474313289.0206 
May,56021400376.5618,103933523353.221,7286105930.94065,914037688.336129,16744915273.9883,107434522095.362 
June,53965820617.1478,100580829051.504,7102796542.66907,1291322507.99748,7014445518.03109,156297456298.173 
July,54096007335.2441,103933523353.221,7405794534.03763,1650049631.95637,4729165345.86772,208309451313.752 
August,56021400376.5617,103933523353.221,7380284619.10535,1532898301.71165,6473893086.1932,185497908845.455 
September,53109329050.7254,100580829051.504,7041737996.16739,1041062460.62936,12081418177.4656,125685812336.645 
October,54952498901.6665,115666157452.247,7249012061.97886,711420094.0961,27129832035.1575,74923629976.2047 
November,53965820617.1478,121881385514.492,6999162975.01724,516089126.108862,48411371413.8799,43537609463.8645 
December,54096007335.2441,108167919437.094,7295077060.03495,669427492.686103,111447860681.616,16994150712.4702 
