Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7336916355.93751,937725952.860365,135314384127.122,23092804481.1715 
February,49854661098.32,80438280919.6592,6590652453.1026,622159341.276981,92026500287.1639,21898098234.6053 
March,56021400376.5617,86631158892.9127,7273803840.09764,641656927.915583,54761357279.8881,53630782192.2565 
April,52040427575.8302,100580829051.504,7020181676.21402,732857706.253225,21879165401.9568,80135703758.5301 
May,56021400376.5618,103933523353.221,7345195474.45368,1046301110.5,14422245189.1023,118701848953.502 
June,53965820617.1478,100580829051.504,7178760832.03215,1452151344.77619,6216437770.06387,169215074782.523 
July,54096007335.2441,103933523353.221,7491592640.82896,1805268474.65957,4179788413.74621,219931560011.371 
August,56021400376.5617,103933523353.221,7458369401.62234,1672050332.21037,5700740973.23111,197359572481.356 
September,53109329050.7254,100580829051.504,7095978936.61275,1149508514.61263,10775818842.3272,135283565757.074 
October,54952498901.6665,115666157452.247,7296537246.1712,814963362.313873,23733830407.3834,86881435098.5331 
November,53965820617.1478,121881385514.492,7017544645.94465,550319329.35777,43574261839.0253,50922162783.7251 
December,54096007335.2441,108167919437.094,7301712922.07141,634794121.785407,105984115642.157,21486062704.463 
