Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7339217369.72633,894706503.467739,129855875924.58,25512428861.4913 
February,49854661098.32,80438280919.6592,6601791683.8633,618848545.437575,85435011417.3413,26883994467.2895 
March,56021400376.5617,86631158892.9127,7291794102.22235,674357768.664712,50793931924.2019,59740809186.9263 
April,52040427575.8302,100580829051.504,7042482956.74564,790173797.927173,20050928328.6769,85947140499.2414 
May,56021400376.5618,103933523353.221,7383176052.41217,1155431099.24458,13243805777.7734,125829387879.168 
June,53965820617.1478,100580829051.504,7226984243.09597,1540627022.23089,5856486096.6603,176705300181.709 
July,54096007335.2441,103933523353.221,7547218730.91532,1930403207.39295,3854967713.30883,226289238764.276 
August,56021400376.5617,103933523353.221,7506875144.61036,1749866291.63469,5295706208.20113,204123060405.558 
September,53109329050.7254,100580829051.504,7129714350.70815,1215405325.65425,10086682862.4861,141119032434.193 
October,54952498901.6665,115666157452.247,7330295454.64741,881645425.26245,22199242910.5727,94506360031.8535 
November,53965820617.1478,121881385514.492,7031022576.20972,580752783.754297,41079766977.7729,55851842110.9659 
December,54096007335.2441,108167919437.094,7305998355.41758,621443654.816509,102641370095.59,24527566881.7273 
