Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7445484209.19519,1691353265.62141,192261735374.284,20092458511.3843 
February,49854661098.32,80438280919.6592,6656144814.16565,1159929150.8842,138265066375.782,16321137426.7897 
March,56021400376.5617,86631158892.9127,7304057708.60124,928310131.7211,87531726348.9301,46358979535.1858 
April,52040427575.8302,100580829051.504,7016251798.55735,781189706.035027,39884255001.2492,71460610827.3264 
May,56021400376.5618,103933523353.221,7288998024.82221,938287249.233996,24842301046.492,105415473590.18 
June,53965820617.1478,100580829051.504,7085225774.1369,1224459696.95965,9438636218.25688,151396502889.411 
July,54096007335.2441,103933523353.221,7396897831.27052,1574079213.9269,4129898299.2226,202629534206.686 
August,56021400376.5617,103933523353.221,7362839871.15998,1446323540.15822,7289910873.38101,179926610272.49 
September,53109329050.7254,100580829051.504,7033692652.24036,1016993205.59525,16563439154.5903,122468833389.558 
October,54952498901.6665,115666157452.247,7269787874.8302,827683782.818295,41333505032.0119,74354338129.0056 
November,53965820617.1478,121881385514.492,7040463954.89745,767413537.343662,71796580348.427,43670687592.9505 
December,54096007335.2441,108167919437.094,7373804340.39324,1299591935.94949,152128138794.632,17961296538.2132 
