Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7334020361.61895,1068395622.61803,147406831645.103,17961728618.1232 
February,49854661098.32,80438280919.6592,6589544686.52957,722053210.887063,110899599069.684,13229066617.3495 
March,56021400376.5617,86631158892.9127,7248917027.84596,612033617.231939,66246565580.8041,41561918737.6781 
April,52040427575.8302,100580829051.504,6982240690.64287,640042089.85467,27654841832.3101,68434825395.0591 
May,56021400376.5618,103933523353.221,7262643573.19486,865499616.720504,17978325503.1903,102883554520.48 
June,53965820617.1478,100580829051.504,7070705703.7982,1214231014.94175,7422760773.10375,150452805340.901 
July,54096007335.2441,103933523353.221,7370573890.14861,1576270508.22223,4988189143.67458,202509860672.204 
August,56021400376.5617,103933523353.221,7348399324.14551,1460195565.62164,6861423204.23107,179950068519.621 
September,53109329050.7254,100580829051.504,7020826818.85362,992313773.782387,12727577414.3621,121717926674.235 
October,54952498901.6665,115666157452.247,7232281635.47666,675429855.016455,28993143074.6363,70325733335.285 
November,53965820617.1478,121881385514.492,6994415725.15232,514060764.138395,50752640822.7516,40958450020.2503 
December,54096007335.2441,108167919437.094,7292646546.217,690811682.586254,113344866110.471,15262781913.9394 
