Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7334139383.77932,1099490560.54004,149748991109.36,16988144882.8616 
February,49854661098.32,80438280919.6592,6594137993.58756,761167589.837457,115404870601.469,12053601311.8441 
March,56021400376.5617,86631158892.9127,7247769552.8157,619393983.553032,68793252110.3377,39692514702.8453 
April,52040427575.8302,100580829051.504,6978827252.67172,634713146.823415,29039321815.2991,66639481863.8542 
May,56021400376.5618,103933523353.221,7249683830.33146,837156146.512946,18849933157.7806,100102681522.171 
June,53965820617.1478,100580829051.504,7050903495.56064,1165306312.85019,7724622428.90714,146767548640.736 
July,54096007335.2441,103933523353.221,7349539740.93388,1530425569.29484,5186999994.3853,198825882281.095 
August,56021400376.5617,103933523353.221,7330372722.30956,1412861802.37063,7116381005.42317,176561007537.701 
September,53109329050.7254,100580829051.504,7009362687.98979,963798448.980452,13152029553.4653,119311202174.372 
October,54952498901.6665,115666157452.247,7222791744.99714,657122071.372339,30405028794.1709,67429782005.2287 
November,53965820617.1478,121881385514.492,6993301778.55921,517810791.748141,52501603021.7108,39328432051.9904 
December,54096007335.2441,108167919437.094,7291170588.09412,707047614.053637,114709733753.189,14122981990.928 
