Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7335740861.90502,974949768.642428,139702078211.552,21402300591.1909 
February,49854661098.32,80438280919.6592,6586202804.25626,635333087.083525,97761447203.4253,18635676689.7661 
March,56021400376.5617,86631158892.9127,7263366266.06197,621696621.172532,58113930769.1402,49304226171.4965 
April,52040427575.8302,100580829051.504,7006236926.3196,694035857.072506,23462759620.4956,76000772026.7227 
May,56021400376.5618,103933523353.221,7318860241.24845,985187857.752253,15373878923.8972,113604290829.334 
June,53965820617.1478,100580829051.504,7145404680.91161,1385874159.60646,6553882357.77117,163668222331.56 
July,54096007335.2441,103933523353.221,7453413407.12967,1742104647.24923,4408793766.99461,215278283109.408 
August,56021400376.5617,103933523353.221,7423732998.42151,1617668469.97281,6025298989.47683,192387268354.473 
September,53109329050.7254,100580829051.504,7072416877.28197,1103058791.26242,11308251549.8397,131059665483.053 
October,54952498901.6665,115666157452.247,7274335028.09,767187384.962527,25117175182.5821,81297755936.9797 
November,53965820617.1478,121881385514.492,7008681211.18288,529984112.358341,45705088592.3405,47291727584.1651 
December,54096007335.2441,108167919437.094,7298887238.37042,646912338.708788,108807988131.801,19330063975.6566 
