Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7412893994.48931,1697843184.32782,188495945278.534,15038685837.3309 
February,49854661098.32,80438280919.6592,6655395410.19722,1307361205.38101,149892056283.931,10433683059.295 
March,56021400376.5617,86631158892.9127,7283013030.09244,949981944.75736,94153138553.9886,36937224565.7554 
April,52040427575.8302,100580829051.504,6994083594.28113,754879686.460912,43926858045.3639,62748593508.7319 
May,56021400376.5618,103933523353.221,7234274533.90072,844714112.620506,27980495314.6425,93522725019.3792 
June,53965820617.1478,100580829051.504,7000345537.86013,1036551393.33529,11286925105.5856,136119640393.315 
July,54096007335.2441,103933523353.221,7291843805.41428,1370532508.4081,4778759648.19293,186642001066.072 
August,56021400376.5617,103933523353.221,7273137042.73442,1242546932.24302,8653647369.24957,164486568411.766 
September,53109329050.7254,100580829051.504,6985679703.43393,912244922.367717,17789319227.4406,111879436025.619 
October,54952498901.6665,115666157452.247,7229336977.69349,759985547.612038,45590825612.319,61747460125.1818 
November,53965820617.1478,121881385514.492,7026305224.66429,777809702.81631,74680143079.9691,36431339845.0814 
December,54096007335.2441,108167919437.094,7341005718.07976,1289164934.18031,147212965788.636,12260267322.4641 
