,Site_EUI,pos,,,,,,,,,
475,59.1," -71.0723468325446,42.286346860405",,,,,,,,,
476,76.6," -71.1031737445326,42.308974467017",,,,,,,,,
477,57.4," -71.1339736908287,42.36075595",,,,,,,,,
478,59.3," -71.1607280866949,42.35212805",,,,,,,,,
479,46.2," -71.0744951,42.2973205",,,,,,,,,
480,36.8," -71.1173949745508,42.26519695",,,,,,,,,
481,51.5," -71.0805238,42.2968754",,,,,,,,,
482,53.8," -71.1269262367248,42.25660185",,,,,,,,,
483,68.4," -71.1034179494936,42.3205762659915",,,,,,,,,
484,68," -71.07552,42.273482",,,,,,,,,
485,69.4," -71.1078386027314,42.28630805",,,,,,,,,
486,52.5," -71.154188963701,42.339999590021",,,,,,,,,
487,85.7," -71.1329835714286,42.2335274285714",,,,,,,,,
488,215," -71.107378,42.326873",,,,,,,,,
489,63.4," -71.0594840172414,42.3577339482759",,,,,,,,,
490,66.4," -71.0914233268856,42.3177307700315",,,,,,,,,
491,108.6," -71.0717910454545,42.3056339090909",,,,,,,,,
492,48.9," -71.097763,42.313349",,,,,,,,,
493,76.1," -71.0780029,42.339429",,,,,,,,,
494,66.5," -71.1178788675885,42.2630655",,,,,,,,,
495,58.1," -71.1244816704678,42.2836816406202",,,,,,,,,
496,158.7," -71.1367839375,42.352547125",,,,,,,,,
497,66.6," -71.1061182769018,42.3218787522172",,,,,,,,,
498,38.2," -71.0309704285714,42.3785311428571",,,,,,,,,
499,39.3," -71.0535012319019,42.2866465749196",,,,,,,,,
500,85.2," -71.0713355,42.383117",,,,,,,,,
501,54.9," -71.1628799742457,42.2715531961272",,,,,,,,,
502,48.4," -71.0760752556602,42.3114110157626",,,,,,,,,
503,40.8," -71.0863279276701,42.3169020827025",,,,,,,,,
504,106.1," -71.0801048135724,42.2926908417522",,,,,,,,,
505,54," -71.0951171062972,42.28235305",,,,,,,,,
506,45.3," -71.0856584210526,42.3215110526316",,,,,,,,,
507,75.7," -71.0756449204526,42.3076081944029",,,,,,,,,
508,59.5," -71.1523127333333,42.2942346666667",,,,,,,,,
509,87.7," -71.1612857445571,42.3509653142322",,,,,,,,,
510,67.3," -71.1319779866603,42.30589040659",,,,,,,,,
511,72.8," -71.0708704630087,42.3000388305335",,,,,,,,,
512,71," -71.0692696937495,42.3252750967931",,,,,,,,,
513,54.9," -71.0622767946518,42.3078918497468",,,,,,,,,
514,53," -71.1035973263725,42.2757444",,,,,,,,,
515,39.7," -71.0344456666667,42.3686874444444",,,,,,,,,
516,56.5," -71.0738642857143,42.3443788571429",,,,,,,,,
517,68.6," -71.0993194461316,42.3432588272336",,,,,,,,,
518,51.4," -71.1065724,42.3500102",,,,,,,,,
519,65.5," -71.1013441683457,42.3167670212524",,,,,,,,,
520,61.3," -71.0909949,42.276885",,,,,,,,,
521,51.4," -71.098295,42.330071",,,,,,,,,
522,49.8," -71.1411034070743,42.2808355141561",,,,,,,,,
523,78," -71.0871644081633,42.329838",,,,,,,,,
524,147.2," -71.049353,42.293856",,,,,,,,,
525,48," -71.03811136,42.37817252",,,,,,,,,
526,120.9," -71.0622597659458,42.2934884368318",,,,,,,,,
527,83," -71.1465111483206,42.2628300330348",,,,,,,,,
528,85.3," -71.0609503,42.3467181",,,,,,,,,
529,58.5," -71.0342413333333,42.374906",,,,,,,,,
530,99.1," -71.115553,42.294628",,,,,,,,,
531,63.1," -71.03059125,42.33228875",,,,,,,,,
532,53.5," -71.1178793629638,42.2856261321207",,,,,,,,,
533,67.9," -71.0811192,42.3327667",,,,,,,,,
534,46.5," -71.068267018576,42.3489570743041",,,,,,,,,
535,44.6," -71.0811192,42.3327667",,,,,,,,,
536,54.3," -71.1093045390071,42.3095776",,,,,,,,,
537,71.7," -71.1234057059227,42.2425009084141",,,,,,,,,
538,88.3," -71.0766369,42.307077",,,,,,,,,
539,41," -71.0868185,42.2816608",,,,,,,,,
540,58.2," -71.0587522120588,42.3756161138952",,,,,,,,,
541,49.6," -71.0780648,42.3506369",,,,,,,,,
542,98.7," -71.044312,42.3334986470588",,,,,,,,,
543,57.2," -71.1262659711283,42.2863205613415",,,,,,,,,
544,59.5," -71.1451392919741,42.3499416109398",,,,,,,,,
545,38.3," -71.0766592105263,42.277033",,,,,,,,,
546,53.7," -71.0803258272282,42.281634614511",,,,,,,,,
547,64.3," -71.0913389,42.330097",,,,,,,,,
548,62.5," -71.0970566173331,42.3328805523113",,,,,,,,,
549,86.9," -71.0880355007555,42.3156495",,,,,,,,,
550,67.4," -71.0379102,42.3348094",,,,,,,,,
551,128.4," -71.0401279813084,42.37851",,,,,,,,,
552,39.3," -71.0982069848515,42.3136207693619",,,,,,,,,
553,51.2," -71.0821745,42.3266776875",,,,,,,,,
554,61.9," -71.069993240093,42.2809405028306",,,,,,,,,
555,51.8," -71.1553676956522,42.3477564347826",,,,,,,,,
556,51.8," -71.0750482603259,42.3181624695788",,,,,,,,,
557,491452.2," -71.0573118144643,42.3564951519509",,,,,,,,,
558,46.1," -71.1013871817686,42.3184206780378",,,,,,,,,
559,0," -71.0595677,42.3604823",,,,,,,,,
560,0," -71.0595677,42.3604823",,,,,,,,,
561,0," -71.0595677,42.3604823",,,,,,,,,
562,434.4," -71.0668827925055,42.383105221192",,,,,,,,,
563,220.2," -71.0672206448385,42.3643363232281",,,,,,,,,
564,311.4," -71.061542,42.3498497",,,,,,,,,
565,219.1," -71.0668144166667,42.3383831944444",,,,,,,,,
566,86.3," -71.1064048,42.3501002",,,,,,,,,
567,68.2," -71.0112592971612,42.3897622612119",,,,,,,,,
568,78.9," -71.1473095976724,42.2870812923645",,,,,,,,,
569,142.8," -71.0376106470588,42.3722955882353",,,,,,,,,
570,27.1," -71.0615173473504,42.3810704280912",,,,,,,,,
571,76.2," -71.126765517218,42.2856896725072",,,,,,,,,
572,17.4," -71.0679047566641,42.3816645510833",,,,,,,,,
573,271.7," -71.1384574252593,42.3603057",,,,,,,,,
574,141.5," -71.1361335466293,42.35378365",,,,,,,,,
575,89.2," -71.1203817058824,42.2552362352941",,,,,,,,,
576,60.2," -71.0811192,42.3327667",,,,,,,,,
577,169.2," -71.0593137,42.3499315",,,,,,,,,
578,133.7," -71.0529107354817,42.3548008328201",,,,,,,,,
579,267.3," -71.0952519,42.290768",,,,,,,,,
580,216.8," -71.0602524,42.3582926",,,,,,,,,
581,173.7," -71.0809348571429,42.3189884489796",,,,,,,,,
582,238.7," -71.069288125,42.339523375",,,,,,,,,
583,149.9," -71.0811192,42.3327667",,,,,,,,,
584,120.2," -71.0811192,42.3327667",,,,,,,,,
585,79.6," -71.0730302244898,42.3337342244898",,,,,,,,,
586,0," -71.063198,42.340076",,,,,,,,,
587,0," -71.073176,42.333575",,,,,,,,,
588,100.3," -71.1283418100481,42.3598349878563",,,,,,,,,
589,85.9," -71.163462,42.352444",,,,,,,,,
590,84.9," -71.0277325454545,42.3783613333333",,,,,,,,,
591,115," -71.0971191666667,42.320697",,,,,,,,,
592,259.4," -71.1236941100194,42.2531842400872",,,,,,,,,
593,94.7," -71.0629700746204,42.3116582924428",,,,,,,,,
594,13," -71.072611,42.289525",,,,,,,,,
595,112.3," -71.067448,42.314751",,,,,,,,,
596,10.2," -71.0613901912503,42.3624903016752",,,,,,,,,
597,9.9," -71.0717832727273,42.3326152424242",,,,,,,,,
598,0," -71.0732515069324,42.2706510792592",,,,,,,,,
599,0," -71.065204,42.3602572857143",,,,,,,,,
600,70.1," -71.1786598556366,42.2782301005678",,,,,,,,,
601,0," -71.0811192,42.3327667",,,,,,,,,
602,40.7," -71.0642158333333,42.3343200833333",,,,,,,,,
603,197," -71.0638843757496,42.35546545",,,,,,,,,
604,0," -71.0595677,42.3604823",,,,,,,,,
605,89.8," -71.0589449,42.356731",,,,,,,,,
606,164.7," -71.0617875714286,42.3502552040816",,,,,,,,,
607,1.9," -71.0351411,42.3393188",,,,,,,,,
608,0," -71.0595677,42.3604823",,,,,,,,,
609,0," -71.0595677,42.3604823",,,,,,,,,
610,71.7," -71.0943756,42.3314096",,,,,,,,,
611,134.2," -71.1609935322186,42.2790974788915",,,,,,,,,
612,46.4," -71.0759604,42.3471078",,,,,,,,,
613,260.3," -71.0627901631855,42.35049565",,,,,,,,,
614,95.9," -71.062304,42.3483995",,,,,,,,,
615,60.1," -71.0584536923077,42.3569944615385",,,,,,,,,
616,0," -71.0595677,42.3604823",,,,,,,,,
617,117.7," -71.060403375,42.35247075",,,,,,,,,
618,63," -71.0534198,42.3565617",,,,,,,,,
619,75.3," -71.0798606,42.3305594",,,,,,,,,
620,150.4," -71.0602524,42.3582926",,,,,,,,,
621,0," -71.0595677,42.3604823",,,,,,,,,
622,121.6," -71.100879,42.340235",,,,,,,,,
623,121.7," -71.0995231129022,42.3392796408671",,,,,,,,,
624,128.4," -71.0995231129022,42.3392796408671",,,,,,,,,
625,264.7," -71.0995231129022,42.3392796408671",,,,,,,,,
626,178," -71.100944,42.336316",,,,,,,,,
627,118.6," -71.1056098308925,42.3419263902168",,,,,,,,,
628,107," -71.1062908937175,42.3412814900197",,,,,,,,,
629,113.5," -71.1060184685875,42.3415394500986",,,,,,,,,
630,159.8," -71.1061206280113,42.341442715069",,,,,,,,,
631,105," -71.1061546811525,42.3414104700591",,,,,,,,,
632,102.5," -71.1053044130435,42.3408999347826",,,,,,,,,
633,99," -71.105029,42.341166",,,,,,,,,
634,128.7," -71.1053575652174,42.340849173913",,,,,,,,,
635,95.7," -71.1041395403001,42.3420400321753",,,,,,,,,
636,109.4," -71.1051746827393,42.3422819379438",,,,,,,,,
637,94.1," -71.1032832727273,42.3425963484848",,,,,,,,,
638,100.3," -71.1032978181818,42.3425820454545",,,,,,,,,
639,276," -71.1053044130435,42.3408999347826",,,,,,,,,
640,60.1," -71.0726779,42.384403",,,,,,,,,
641,13.9," -71.06462,42.382146",,,,,,,,,
642,138.9," -71.0681546,42.3302868",,,,,,,,,
643,111.4," -71.0431625,42.3462734",,,,,,,,,
644,67.9," -71.1036697275157,42.3351382",,,,,,,,,
645,123.7," -71.0812989,42.3403118",,,,,,,,,
646,102.5," -71.0987649815848,42.3388858103136",,,,,,,,,
647,165.5," -71.0989329,42.3386252",,,,,,,,,
648,0," -71.0595677,42.3604823",,,,,,,,,
649,34.2," -71.0580663333333,42.3496763333333",,,,,,,,,
650,0," -71.0595677,42.3604823",,,,,,,,,
651,25693.9," -71.0528226,42.3537855",,,,,,,,,
652,140.9," -71.0827952698125,42.3449325",,,,,,,,,
653,170.6," -71.1022341036895,42.3415619171204",,,,,,,,,
654,89.2," -71.0667712916667,42.3384125694444",,,,,,,,,
655,213.6," -71.1022341036895,42.3415619171204",,,,,,,,,
656,179.7," -71.0701193,42.3619187",,,,,,,,,
657,80.4," -71.0943191428571,42.3258964285714",,,,,,,,,
658,56.2," -71.0926912,42.3469348",,,,,,,,,
659,83.3," -71.0465389,42.319427",,,,,,,,,
660,79.5," -71.0484736122449,42.3512420204082",,,,,,,,,
661,30.9," -71.0471545,42.3505555",,,,,,,,,
662,0," -71.0595677,42.3604823",,,,,,,,,
663,13.2," -71.0616577009564,42.3641193102853",,,,,,,,,
664,0," -71.0595677,42.3604823",,,,,,,,,
665,51.9," -71.0585573397833,42.3588154677577",,,,,,,,,
666,205.1," -71.1013500909091,42.3362301818182",,,,,,,,,
667,343.8," -71.1031694354839,42.3371084032258",,,,,,,,,
668,19.1," -71.0639397142857,42.3307832142857",,,,,,,,,
669,101.1," -71.05404875,42.367638",,,,,,,,,
670,95.4," -71.0628911194501,42.3115820964585",,,,,,,,,
671,61.9," -71.0400966818182,42.2870839090909",,,,,,,,,
672,121.8," -71.0972243184537,42.34648975",,,,,,,,,
673,1.9," -71.0668504002321,42.3469834687045",,,,,,,,,
674,0," -71.0595677,42.3604823",,,,,,,,,
675,86.4," -71.0539450892857,42.3581692142857",,,,,,,,,
676,30," -71.0573604285714,42.3587914285714",,,,,,,,,
677,98.4," -71.0735388457424,42.3490911288143",,,,,,,,,
678,0," -71.0569483333333,42.3378535555556",,,,,,,,,
679,0," -71.0541072,42.3541385",,,,,,,,,
680,216.5," -71.0706034210526,42.3384657894737",,,,,,,,,
681,239.6," -71.0724023958333,42.3379767604167",,,,,,,,,
682,307.1," -71.071782,42.337456",,,,,,,,,
683,416.7," -71.0685833469388,42.3371196938776",,,,,,,,,
684,149.6," -71.0742821041667,42.3374425625",,,,,,,,,
685,187.7," -71.0706981578947,42.3383884210526",,,,,,,,,
686,68.1," -71.0742078333333,42.3373785",,,,,,,,,
687,402.2," -71.072855,42.333856",,,,,,,,,
688,381," -71.068721030303,42.3367921515151",,,,,,,,,
689,283.6," -71.0686554242424,42.3368391212121",,,,,,,,,
690,97.5," -71.0609503,42.3467181",,,,,,,,,
691,149.8," -71.1356001870945,42.3632212564837",,,,,,,,,
692,186.8," -71.053314,42.340611",,,,,,,,,
693,173.9," -71.0393118,42.383652",,,,,,,,,
694,396.9," -71.0467556734694,42.3534400408163",,,,,,,,,
695,37.5," -71.0156709360607,42.3853344003682",,,,,,,,,
696,74.3," -71.0577641,42.3588131",,,,,,,,,
697,81.4," -71.051488,42.35462",,,,,,,,,
698,0," -71.0595677,42.3604823",,,,,,,,,
699,0," -71.0595677,42.3604823",,,,,,,,,
700,61.5," -71.0716422,42.3507734",,,,,,,,,
701,0.6," -71.0672997777778,42.319027037037",,,,,,,,,
702,34.1," -71.0811192,42.3327667",,,,,,,,,
703,19.5," -71.0755272261586,42.333958869796",,,,,,,,,
704,84.7," -71.0882139031386,42.33558275",,,,,,,,,
705,5.5," -71.0890546734694,42.3345121836735",,,,,,,,,
706,110.1," -71.081592,42.271411",,,,,,,,,
707,110.6," -71.1142904038438,42.3169458",,,,,,,,,
708,221.4," -71.125149,42.366979",,,,,,,,,
709,144.9," -71.1248622,42.3672696",,,,,,,,,
710,115.4," -71.1249606,42.3671688",,,,,,,,,
711,103.7," -71.124621,42.36752",,,,,,,,,
712,37.7," -71.124977,42.367152",,,,,,,,,
713,105.7," -71.1245298571429,42.3676162857143",,,,,,,,,
714,78.9," -71.1249442,42.3671856",,,,,,,,,
715,86.4," -71.0926912,42.3469348",,,,,,,,,
716,32," -71.1258350947261,42.3662838957569",,,,,,,,,
717,81.1," -71.0811192,42.3327667",,,,,,,,,
718,36.4," -71.1381803737374,42.3566567676768",,,,,,,,,
719,9.8," -71.06538,42.3779595",,,,,,,,,
720,74," -71.0583778,42.3076775",,,,,,,,,
721,88.6," -71.16128722,42.34023488",,,,,,,,,
722,88.3," -71.1381728132264,42.2460840475897",,,,,,,,,
723,137.6," -71.1050253333333,42.2865328333333",,,,,,,,,
724,62.5," -71.1050253333333,42.2865328333333",,,,,,,,,
725,36.6," -71.0694343631974,42.3420585467823",,,,,,,,,
726,31," -71.064888,42.3429565",,,,,,,,,
727,52.3," -71.066864,42.340289",,,,,,,,,
728,59.6," -71.0651934272819,42.3393211092918",,,,,,,,,
729,29.9," -71.0659976147033,42.3418691872829",,,,,,,,,
730,124.4," -71.0637790558293,42.3541476040644",,,,,,,,,
731,92.8," -71.0766171,42.3051945",,,,,,,,,
732,103.4," -71.0895167641908,42.3465388",,,,,,,,,
733,5.6," -71.1256954444444,42.3636160740741",,,,,,,,,
734,0," -71.0595677,42.3604823",,,,,,,,,
735,65.6," -71.0778884542634,42.3502099",,,,,,,,,
736,39.5," -71.0850329787483,42.2810395909124",,,,,,,,,
737,31.8," -71.0766369,42.307077",,,,,,,,,
738,54.6," -71.0675349815109,42.3392218580902",,,,,,,,,
739,80," -71.0580544285714,42.3590230357143",,,,,,,,,
740,94.3," -71.0966908242373,42.3126697051589",,,,,,,,,
741,121.2," -71.0709106,42.3465477",,,,,,,,,
742,50.4," -71.0926912,42.3469348",,,,,,,,,
743,0," -71.0638116563102,42.3540828178669",,,,,,,,,
744,119.7," -71.0743246122449,42.3486349387755",,,,,,,,,
745,1," -71.0728874489796,42.3338334489796",,,,,,,,,
746,0," -71.0686335555556,42.3368547777778",,,,,,,,,
747,56.7," -71.0541072,42.3541385",,,,,,,,,
748,37.8," -71.0709081538461,42.3444459230769",,,,,,,,,
749,111.4," -71.1051733887248,42.3021750152455",,,,,,,,,
750,0," -71.0595677,42.3604823",,,,,,,,,
751,78.9," -71.1480289505277,42.3572970956687",,,,,,,,,
752,0," -71.0595677,42.3604823",,,,,,,,,
753,46.3," -71.1673393570936,42.3566463004351",,,,,,,,,
754,103.9," -71.1111122867627,42.30622159816",,,,,,,,,
755,0," -71.0595677,42.3604823",,,,,,,,,
756,76.5," -71.034219,42.344546",,,,,,,,,
757,83," -71.0337800816327,42.3445916938775",,,,,,,,,
758,0," -71.1051715315034,42.3278618169241",,,,,,,,,
759,17.4," -71.0979694,42.3486707",,,,,,,,,
760,166.6," -71.0811192,42.3327667",,,,,,,,,
761,0," -71.0595677,42.3604823",,,,,,,,,
762,121017.9," -71.1530308819657,42.3518904642791",,,,,,,,,
763,68," -71.0428521970443,42.3380869852217",,,,,,,,,
764,0," -71.0595677,42.3604823",,,,,,,,,
765,0," -71.1028715318232,42.3164306087352",,,,,,,,,
766,76.9," -71.066417,42.378363",,,,,,,,,
767,0," -71.1064048,42.3501002",,,,,,,,,
768,21," -71.0635419681619,42.3433592249542",,,,,,,,,
769,64.7," -71.0541072,42.3541385",,,,,,,,,
770,0," -71.0595677,42.3604823",,,,,,,,,
771,21.6," -71.104781,42.2635",,,,,,,,,
772,9," -71.058385175,42.35096725",,,,,,,,,
773,0," -71.0595677,42.3604823",,,,,,,,,
774,0," -71.0133438,42.3911288",,,,,,,,,
775,84," -71.1064048,42.3501002",,,,,,,,,
776,45.4," -71.1681338,42.3505988",,,,,,,,,
777,28.1," -71.0622778,42.3648194",,,,,,,,,
778,29.1," -71.0615109966011,42.3642548737199",,,,,,,,,
779,0," -71.052404,42.357456",,,,,,,,,
780,46.4," -71.0795949422164,42.3317930108324",,,,,,,,,
781,419.8," -71.1028166122449,42.3378211836735",,,,,,,,,
782,0," -71.0595677,42.3604823",,,,,,,,,
783,154.3," -71.08029,42.3508855",,,,,,,,,
784,128.4," -71.0608376,42.3573772",,,,,,,,,
785,99.3," -71.0811192,42.3327667",,,,,,,,,
786,0," -71.0595677,42.3604823",,,,,,,,,
787,0," -71.0595677,42.3604823",,,,,,,,,
788,59.6," -71.147618,42.287923",,,,,,,,,
789,126.8," -71.0527274782609,42.359386826087",,,,,,,,,
790,69.1," -71.0573290653759,42.3560515034418",,,,,,,,,
791,105.7," -71.0604555238095,42.3502423571429",,,,,,,,,
792,0," -71.0704416764706,42.3627718529412",,,,,,,,,
793,143.4," -71.1265261,42.3578102",,,,,,,,,
794,205.2," -71.108854,42.333174",,,,,,,,,
795,535.6," -71.063955,42.362068",,,,,,,,,
796,81.9," -71.0972981761778,42.3372105624127",,,,,,,,,
797,81.7," -71.0478329253873,42.3201511",,,,,,,,,
798,87," -71.0558962674247,42.3608444077813",,,,,,,,,
799,66.4," -71.069723,42.356231",,,,,,,,,
800,0," -71.0595677,42.3604823",,,,,,,,,
801,51," -71.051678,42.359722",,,,,,,,,
802,7.2," -71.0612997885572,42.3518206630595",,,,,,,,,
803,206.5," -71.0923193,42.3392795",,,,,,,,,
804,109.9," -71.0630233265306,42.3534849591837",,,,,,,,,
805,26.1," -71.0633512050983,42.3442359909991",,,,,,,,,
806,130.4," -71.056081,42.3109835384615",,,,,,,,,
807,67.7," -71.03748315625,42.33935246875",,,,,,,,,
808,0," -71.0595677,42.3604823",,,,,,,,,
809,2.5," -71.0617905,42.3268965",,,,,,,,,
810,0," -71.0595677,42.3604823",,,,,,,,,
811,179," -71.132702,42.296761",,,,,,,,,
812,106.6," -71.1183517663764,42.2695784260514",,,,,,,,,
813,24," -71.037239877551,42.3391119591837",,,,,,,,,
814,118.9," -71.0371694285714,42.3391131428571",,,,,,,,,
815,138.9," -71.0370614166667,42.3392800416667",,,,,,,,,
816,38.1," -71.0373986666667,42.3378808333333",,,,,,,,,
817,183.9," -71.0828972,42.34436",,,,,,,,,
818,0," -71.0595677,42.3604823",,,,,,,,,
819,0," -71.0595677,42.3604823",,,,,,,,,
820,47.8," -71.0374604666667,42.3389560666667",,,,,,,,,
821,81.3," -71.03748315625,42.33935246875",,,,,,,,,
822,43.3," -71.0374474,42.3387302",,,,,,,,,
823,0.5," -71.07268436,42.3521652",,,,,,,,,
824,59.8," -71.068729,42.321284",,,,,,,,,
825,61.9," -71.0521127,42.3448522",,,,,,,,,
826,0," -71.0595677,42.3604823",,,,,,,,,
827,0," -71.0595677,42.3604823",,,,,,,,,
828,64," -71.1085580500479,42.31788295",,,,,,,,,
829,0," -71.0811192,42.3327667",,,,,,,,,
830,0," -71.0595677,42.3604823",,,,,,,,,
831,3.9," -71.0976931103722,42.3427597098532",,,,,,,,,
832,0," -71.0595677,42.3604823",,,,,,,,,
833,0," -71.0961315,42.3490383",,,,,,,,,
834,37.8," -71.052135,42.3012995",,,,,,,,,
835,95.4," -71.1511559,42.342702",,,,,,,,,
836,40.5," -71.0561035900472,42.3423125947566",,,,,,,,,
837,20.7," -71.074274,42.348528",,,,,,,,,
838,79.6," -71.0695076363636,42.3456741818182",,,,,,,,,
839,0," -71.0595677,42.3604823",,,,,,,,,
840,63.9," -71.136796413392,42.3607597",,,,,,,,,
841,32," -71.123607323019,42.2827064343912",,,,,,,,,
842,93," -71.1516,42.342003",,,,,,,,,
843,69.5," -71.151637,42.341754",,,,,,,,,
844,0," -71.0595677,42.3604823",,,,,,,,,
845,74.6," -71.0951649,42.3490323",,,,,,,,,
846,38.4," -70.999529,42.388468",,,,,,,,,
847,56," -71.0812989,42.3403118",,,,,,,,,
848,52.3," -71.061392755102,42.3536644693878",,,,,,,,,
849,0," -71.0461610898776,42.3536126",,,,,,,,,
850,0," -71.0454497,42.3536695",,,,,,,,,
851,0," -71.0595677,42.3604823",,,,,,,,,
852,76.7," -71.0468628,42.3133432",,,,,,,,,
853,4.7," -71.1054523125,42.3404905625",,,,,,,,,
854,46.3," -71.0554926,42.3573803",,,,,,,,,
855,291.7," -71.106656,42.330033",,,,,,,,,
856,50.8," -71.0541072,42.3541385",,,,,,,,,
857,0," -71.0740808974359,42.3486165897436",,,,,,,,,
858,24.6," -71.1095295017078,42.3403048685244",,,,,,,,,
859,103.9," -71.1182304802798,42.2693827630396",,,,,,,,,
860,86.6," -71.1064048,42.3501002",,,,,,,,,
861,75.9," -71.083488,42.329299",,,,,,,,,
862,84.3," -71.0946388635154,42.3449970222369",,,,,,,,,
863,0," -71.1028107521835,42.3162719450956",,,,,,,,,
864,50151.6," -71.060236,42.3578372",,,,,,,,,
865,57.3," -71.152318,42.274636",,,,,,,,,
866,0," -71.0647603,42.3522775",,,,,,,,,
867,110.2," -71.0972018644918,42.3417510166064",,,,,,,,,
868,88.1," -71.1213608,42.3526094",,,,,,,,,
869,57.1," -71.1027717368421,42.3471236842105",,,,,,,,,
870,15.6," -71.0570142367137,42.3426860121324",,,,,,,,,
871,97.9," -71.0565206458333,42.3546882291667",,,,,,,,,
872,152.1," -71.0568388823529,42.3569220882353",,,,,,,,,
873,27.6," -71.052153,42.378606",,,,,,,,,
874,182," -71.1170181334257,42.2529841624307",,,,,,,,,
875,23.3," -71.0722485104702,42.3001475747022",,,,,,,,,
876,86.8," -71.0818135165292,42.3386673164919",,,,,,,,,
877,2.2," -71.0994373953488,42.3202623953488",,,,,,,,,
878,16.1," -71.0504202,42.36552795",,,,,,,,,
879,202.8," -71.1168962244973,42.2672317335539",,,,,,,,,
880,94.5," -71.0818502,42.3449757",,,,,,,,,
881,33.5," -71.0633094302093,42.3550299474621",,,,,,,,,
882,0," -71.0595677,42.3604823",,,,,,,,,
883,0," -71.0595677,42.3604823",,,,,,,,,
884,65," -71.0811192,42.3327667",,,,,,,,,
885,69.6," -71.0926912,42.3469348",,,,,,,,,
886,0," -71.0595677,42.3604823",,,,,,,,,
887,0," -71.0595677,42.3604823",,,,,,,,,
888,71.8," -71.0811192,42.3327667",,,,,,,,,
889,418.2," -71.107002375005,42.3354176974398",,,,,,,,,
890,74.1," -71.088299525,42.3451319",,,,,,,,,
891,60.3," -71.0676568756106,42.3403492042469",,,,,,,,,
892,0," -71.072164,42.344209",,,,,,,,,
893,79.9," -71.0724730625,42.33804009375",,,,,,,,,
894,59.4," -71.066815,42.362514",,,,,,,,,
895,58.9," -71.1064048,42.3501002",,,,,,,,,
896,133.9," -71.119221,42.270593",,,,,,,,,
897,67.8," -71.0989690872309,42.3420453614205",,,,,,,,,
898,119.2," -71.101052,42.33538",,,,,,,,,
899,0," -71.0595677,42.3604823",,,,,,,,,
900,64.3," -71.1013600072556,42.3443814587463",,,,,,,,,
901,0," -71.1064048,42.3501002",,,,,,,,,
902,0," -71.155483,42.338934",,,,,,,,,
903,0," -71.0913976131316,42.342946397168",,,,,,,,,
904,0," -71.0595677,42.3604823",,,,,,,,,
905,0," -71.1064048,42.3501002",,,,,,,,,
906,61.7," -71.1554981781877,42.2608576393408",,,,,,,,,
907,40," -71.1555014097092,42.2608635071036",,,,,,,,,
908,60.4," -71.1109849,42.329525",,,,,,,,,
909,72.9," -71.0574677142857,42.3647988571429",,,,,,,,,
910,91," -71.0609106323711,42.3530432637672",,,,,,,,,
911,54.9," -71.1177187843025,42.2899265133212",,,,,,,,,
912,0," -71.0413626,42.3470211",,,,,,,,,
913,72," -71.0811192,42.3327667",,,,,,,,,
914,0," -71.0595677,42.3604823",,,,,,,,,
915,68.9," -71.0530338721334,42.4109028009687",,,,,,,,,
916,68.2," -71.1216379136386,42.3676953868899",,,,,,,,,
917,124.4," -71.1180078573548,42.2739547862518",,,,,,,,,
918,133.8," -71.0469743333333,42.3347566666667",,,,,,,,,
919,0," -71.0580107142857,42.3590201428571",,,,,,,,,
920,0," -71.0541072,42.3541385",,,,,,,,,
921,4.1," -71.0503041624813,42.3622483082847",,,,,,,,,
922,46.8," -71.0644110437234,42.3631565",,,,,,,,,
923,79.9," -71.0644110437234,42.3631565",,,,,,,,,
924,70.1," -71.0689364166667,42.3643262708333",,,,,,,,,
925,76.7," -71.0621141805696,42.3519422",,,,,,,,,
926,52.6," -71.0608937,42.3654203",,,,,,,,,
927,74.7," -71.1004297,42.3339992",,,,,,,,,
928,67.5," -71.1552463606664,42.2644490446296",,,,,,,,,
929,119.9," -71.0759748571429,42.2981841428571",,,,,,,,,
930,79," -71.0761021,42.3469394",,,,,,,,,
931,41.5," -71.0794079259259,42.3490171481481",,,,,,,,,
932,92.5," -71.0926912,42.3469348",,,,,,,,,
933,97.1," -71.0926912,42.3469348",,,,,,,,,
934,96.1," -71.0926912,42.3469348",,,,,,,,,
935,64.1," -71.05999525,42.353665875",,,,,,,,,
936,127.3," -71.0811192,42.3327667",,,,,,,,,
937,19.4," -71.1381494,42.359862",,,,,,,,,
938,0.1," -71.0585793294118,42.3504935882353",,,,,,,,,
939,117.7," -71.0510155,42.3506088",,,,,,,,,
940,59.8," -71.0520073899824,42.3625291667345",,,,,,,,,
941,0," -71.0595677,42.3604823",,,,,,,,,
942,78.3," -71.0636486539056,42.3544067488542",,,,,,,,,
943,0," -71.0595677,42.3604823",,,,,,,,,
944,40.8," -71.0961315,42.3490383",,,,,,,,,
945,52.2," -71.0594133323292,42.3041172590362",,,,,,,,,
946,49.5," -71.0363434166667,42.3701325",,,,,,,,,
947,54.7," -71.063031,42.348766",,,,,,,,,
948,71.4," -71.07032825,42.31117625",,,,,,,,,
949,46.4," -71.1158979,42.27598",,,,,,,,,
950,94.8," -71.0905976960567,42.3110253451342",,,,,,,,,
951,0," -71.0595677,42.3604823",,,,,,,,,
952,0," -71.0595677,42.3604823",,,,,,,,,
953,0," -71.0595677,42.3604823",,,,,,,,,
954,0," -71.0595677,42.3604823",,,,,,,,,
