,Site_EUI,pos,,,,,,,,,
108,71.1," -71.0579654,42.3532502",,,,,,,,,
109,127.1," -71.0581936836735,42.3587855918367",,,,,,,,,
110,39.9," -71.0730862271907,42.3492131746555",,,,,,,,,
111,59.8," -71.1182439565127,42.2694045033742",,,,,,,,,
112,72.5," -71.0541865,42.374969",,,,,,,,,
113,68.1," -71.1256954444444,42.3636160740741",,,,,,,,,
114,73.6," -71.0666239,42.3616699",,,,,,,,,
115,78.9," -71.0569519,42.351924",,,,,,,,,
116,56.8," -71.0499414195329,42.3776145342422",,,,,,,,,
117,133.6," -71.0926912,42.3469348",,,,,,,,,
118,10.8," -71.050651125,42.3579175833333",,,,,,,,,
119,156.1," -71.0576786666667,42.3286933333333",,,,,,,,,
120,0," -71.0595677,42.3604823",,,,,,,,,
121,57.6," -71.0739554666967,42.35043025",,,,,,,,,
122,53.8," -71.0730232439024,42.351398097561",,,,,,,,,
123,329.7," -71.1058639473684,42.3349026315789",,,,,,,,,
124,85.7," -71.1045073,42.34515768",,,,,,,,,
125,55.6," -71.0560882857143,42.3590964285714",,,,,,,,,
126,84.6," -71.0530285918367,42.3577512857143",,,,,,,,,
127,429.2," -71.1079528125,42.3366629375",,,,,,,,,
128,27.5," -71.097794,42.350048",,,,,,,,,
129,604," -71.108255,42.337849",,,,,,,,,
130,461.2," -71.10735496,42.33873936",,,,,,,,,
131,671.2," -71.1078334285714,42.336510755102",,,,,,,,,
132,261.9," -71.0698163444838,42.3625120179953",,,,,,,,,
133,79.2," -71.0541072,42.3541385",,,,,,,,,
134,475.6," -71.106273,42.338238",,,,,,,,,
135,0," -71.0595677,42.3604823",,,,,,,,,
136,0," -71.0595677,42.3604823",,,,,,,,,
137,96.7," -71.0783624138673,42.3355614054498",,,,,,,,,
138,82.2," -71.12593421875,42.25091975",,,,,,,,,
139,63.2," -71.0588746,42.3504896",,,,,,,,,
140,75.8," -71.056843,42.3503565",,,,,,,,,
141,383.5," -71.1018794639118,42.3371008",,,,,,,,,
142,63.2," -71.055059,42.3558801428571",,,,,,,,,
143,0," -71.0595677,42.3604823",,,,,,,,,
144,180," -71.0534175852377,42.362259331515",,,,,,,,,
145,323.6," -71.1052995,42.3406365",,,,,,,,,
146,127.8," -71.1326286233361,42.2967964404295",,,,,,,,,
147,434.2," -71.10737536,42.33872076",,,,,,,,,
148,173," -71.0811192,42.3327667",,,,,,,,,
149,0.3," -71.0565163,42.3510033",,,,,,,,,
150,116.6," -71.1669339,42.3503915",,,,,,,,,
151,101.1," -71.0611528615451,42.363959645865",,,,,,,,,
152,105.9," -71.0583778,42.3076775",,,,,,,,,
153,75.7," -71.1246259,42.363655",,,,,,,,,
154,253.2," -71.1289869971686,42.2988154629671",,,,,,,,,
155,59.6," -71.1244336210619,42.36324455",,,,,,,,,
156,0," -71.0595677,42.3604823",,,,,,,,,
157,80.9," -71.0926912,42.3469348",,,,,,,,,
158,54.9," -71.0529376153846,42.3576967692308",,,,,,,,,
159,124," -71.0584603224359,42.3527552",,,,,,,,,
160,46," -71.0563192916667,42.353825375",,,,,,,,,
161,81.9," -71.05629,42.355419",,,,,,,,,
162,98.5," -71.0510155,42.3506088",,,,,,,,,
163,106.2," -71.0425516666667,42.3453814583333",,,,,,,,,
164,198.8," -71.1039978024072,42.3374333556294",,,,,,,,,
165,513.2," -71.1031857258065,42.3371153387097",,,,,,,,,
166,358," -71.1028422040816,42.3377870612245",,,,,,,,,
167,517.8," -71.1051800833333,42.3376145833333",,,,,,,,,
168,108.1," -71.1032455233512,42.3373796690254",,,,,,,,,
169,226.6," -71.1032183064516,42.3371292096774",,,,,,,,,
170,183.4," -71.1037582,42.3353572",,,,,,,,,
171,486.9," -71.1037590108313,42.3373461447926",,,,,,,,,
172,146.9," -71.1012777272727,42.3362034545455",,,,,,,,,
173,147.6," -71.1042235537206,42.33564455",,,,,,,,,
174,209.6," -71.1035226373483,42.3372523767993",,,,,,,,,
175,68.9," -71.0280232591569,42.3440703901541",,,,,,,,,
176,60.5," -71.1065902396604,42.341799435926",,,,,,,,,
177,83.6," -71.1182843852116,42.2694697243781",,,,,,,,,
178,84.9," -71.0511127755102,42.3598150612245",,,,,,,,,
179,107.9," -71.0602524,42.3582926",,,,,,,,,
180,123.1," -71.0541072,42.3541385",,,,,,,,,
181,0," -71.1020021566205,42.35056862806",,,,,,,,,
182,68.8," -71.0851370719761,42.3464136",,,,,,,,,
183,87.1," -71.0623374617882,42.3560524215897",,,,,,,,,
184,54.9," -71.0510155,42.3506088",,,,,,,,,
185,62," -71.0509988257979,42.3506714885107",,,,,,,,,
186,48.9," -71.0756987428571,42.3485784571429",,,,,,,,,
187,64.3," -71.0510155,42.3506088",,,,,,,,,
188,87.2," -71.0557639,42.355387",,,,,,,,,
189,482.5," -71.0387245,42.3486431486486",,,,,,,,,
190,55.3," -71.0591579,42.357734",,,,,,,,,
191,54.6," -71.0608498394058,42.3531034164839",,,,,,,,,
